               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081563,            0.014192,                   0,             0.78797,             0.79364,             0.82829,             0.36859,            0.042053,            0.009167,                   0,            0.070145,           0.0033172,           0.0033172
                   1,            0.045062,            0.010314,                   0,             0.90376,             0.90131,             0.93468,             0.41297,            0.035409,             0.00645,                   0,            0.039925,           0.0064311,           0.0064311
                   2,             0.04082,           0.0084163,                   0,             0.96701,             0.94661,             0.96858,             0.52815,            0.032949,           0.0052595,                   0,            0.009486,            0.009325,            0.009325
                   3,            0.035247,            0.007034,                   0,             0.98302,             0.97218,             0.98741,             0.60473,            0.028406,           0.0047129,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.030845,           0.0062415,                   0,              0.9861,             0.97908,             0.99088,             0.65828,            0.024777,           0.0042369,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.028648,           0.0058097,                   0,             0.98861,               0.979,             0.99164,             0.66422,            0.024124,           0.0039542,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.026885,           0.0054767,                   0,             0.98668,             0.97771,             0.99208,             0.66927,            0.023734,           0.0039313,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.025798,           0.0054359,                   0,             0.99272,             0.98095,             0.99421,             0.68362,            0.022569,           0.0036963,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.025317,           0.0052722,                   0,             0.99037,              0.9874,             0.99453,             0.68066,            0.023473,           0.0036854,                   0,             0.00769,             0.00769,             0.00769
                   9,             0.02466,           0.0051426,                   0,             0.99106,              0.9832,             0.99368,             0.67018,            0.023166,           0.0036992,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.024349,           0.0051486,                   0,             0.98915,              0.9846,              0.9941,             0.67983,            0.022761,           0.0035727,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.023739,           0.0050621,                   0,              0.9924,              0.9844,             0.99402,             0.68046,            0.022773,           0.0035952,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.023237,           0.0050294,                   0,             0.99306,              0.9862,              0.9941,             0.69272,            0.021887,           0.0035576,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.022993,            0.004929,                   0,             0.99191,              0.9898,             0.99467,              0.7053,            0.021623,           0.0035048,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.022835,           0.0048611,                   0,             0.99301,              0.9862,             0.99426,             0.69074,            0.021644,           0.0034897,                   0,             0.00571,             0.00571,             0.00571
                  15,             0.02239,           0.0049175,                   0,             0.99238,              0.9886,             0.99465,             0.69342,             0.02169,            0.003503,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.022132,           0.0047922,                   0,             0.99517,             0.98853,             0.99466,             0.69954,            0.021619,           0.0034333,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.021941,           0.0047943,                   0,             0.99323,               0.988,              0.9946,             0.70397,            0.021274,            0.003429,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.021761,           0.0047564,                   0,             0.99397,             0.98937,             0.99446,             0.71372,            0.021061,           0.0033938,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.021652,           0.0047109,                   0,              0.9934,              0.9874,             0.99436,             0.70669,            0.021144,           0.0033838,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.021475,           0.0046519,                   0,             0.99458,             0.99025,             0.99474,             0.71028,            0.020823,           0.0033805,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.021114,           0.0046528,                   0,             0.99577,             0.98952,             0.99433,              0.7097,            0.021041,           0.0033576,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.021193,           0.0046531,                   0,             0.99577,             0.98807,             0.99468,             0.71389,            0.020887,           0.0033493,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.020848,           0.0046616,                   0,             0.99417,               0.991,             0.99458,             0.70766,            0.020843,            0.003356,                   0,             0.00274,             0.00274,             0.00274
                  24,             0.02072,           0.0045994,                   0,             0.99366,              0.9916,             0.99446,             0.71066,            0.020851,           0.0033463,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.020567,           0.0046398,                   0,             0.99279,             0.99153,             0.99458,             0.71343,            0.020723,           0.0032985,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.020313,           0.0045279,                   0,             0.99458,             0.99034,             0.99453,             0.71616,            0.020454,            0.003294,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.020326,           0.0045703,                   0,              0.9946,               0.991,             0.99451,             0.71375,            0.020516,            0.003279,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.020077,           0.0044849,                   0,              0.9928,             0.99267,             0.99458,             0.71606,            0.020496,           0.0032871,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.019938,           0.0044884,                   0,             0.99441,              0.9934,             0.99458,             0.71737,            0.020406,           0.0032712,                   0,             0.00076,             0.00076,             0.00076
