               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075898,            0.084494,            0.086572,             0.16167,             0.24809,            0.044541,            0.023657,            0.032372,            0.058272,             0.06625,            0.070303,           0.0032997,           0.0032997
                   1,            0.048165,            0.068674,             0.07376,             0.69531,             0.14392,               0.078,            0.043545,            0.034586,            0.054655,            0.062251,            0.040084,           0.0064141,           0.0064141
                   2,            0.045117,            0.066239,            0.070343,             0.75327,             0.11482,             0.11318,            0.062416,            0.028923,            0.057944,            0.057873,           0.0096453,           0.0093086,           0.0093086
                   3,             0.04006,            0.064454,            0.063711,             0.80591,             0.12956,             0.16529,            0.091239,            0.033214,            0.055868,            0.050992,             0.00901,             0.00901,             0.00901
                   4,            0.036228,            0.062117,            0.055502,              0.8658,              0.2189,             0.24055,             0.14938,            0.024248,            0.052021,            0.042413,             0.00901,             0.00901,             0.00901
                   5,            0.034477,            0.061127,             0.04541,             0.93624,             0.22938,             0.29776,             0.19761,            0.024515,            0.050543,            0.033051,             0.00868,             0.00868,             0.00868
                   6,            0.033591,            0.059698,            0.037368,             0.92981,             0.28243,             0.33635,              0.2209,            0.023613,            0.050422,            0.026789,             0.00835,             0.00835,             0.00835
                   7,            0.032053,            0.059638,            0.031288,             0.94181,             0.31287,             0.37703,             0.25932,            0.022383,             0.04936,            0.022062,             0.00802,             0.00802,             0.00802
                   8,            0.031221,            0.058902,            0.027297,             0.92973,             0.34369,             0.40445,             0.29283,            0.019689,            0.047683,            0.019532,             0.00769,             0.00769,             0.00769
                   9,            0.029785,            0.058851,            0.025185,             0.96385,             0.35713,             0.43608,             0.30882,            0.020819,            0.047906,            0.017964,             0.00736,             0.00736,             0.00736
                  10,            0.029137,            0.057743,            0.023351,              0.9799,             0.35828,             0.46178,              0.3362,            0.018704,            0.046993,            0.016194,             0.00703,             0.00703,             0.00703
                  11,            0.028818,            0.056603,            0.021931,             0.92095,             0.41198,             0.49768,              0.3574,            0.019301,            0.047111,            0.015188,              0.0067,              0.0067,              0.0067
                  12,            0.027939,            0.056323,            0.020548,             0.94067,              0.4182,             0.49858,              0.3647,            0.018348,            0.046645,            0.014199,             0.00637,             0.00637,             0.00637
                  13,            0.027885,            0.056067,            0.019627,             0.95082,             0.42323,             0.50183,             0.36003,            0.019072,            0.047232,            0.013577,             0.00604,             0.00604,             0.00604
                  14,             0.02698,            0.055314,            0.018685,             0.95762,             0.41581,             0.49735,             0.36311,            0.018519,            0.047583,            0.013663,             0.00571,             0.00571,             0.00571
                  15,            0.026573,            0.055399,            0.017731,             0.88888,             0.46751,             0.54967,              0.3939,              0.0193,            0.046727,            0.011775,             0.00538,             0.00538,             0.00538
                  16,            0.026244,            0.055097,            0.017076,             0.93932,             0.46558,             0.55531,             0.40983,            0.017816,            0.046016,            0.011384,             0.00505,             0.00505,             0.00505
                  17,            0.025663,            0.055395,            0.016216,             0.91334,             0.48175,             0.62471,             0.46347,            0.017873,            0.045797,            0.010818,             0.00472,             0.00472,             0.00472
                  18,            0.025359,            0.053845,            0.015687,             0.68271,             0.62409,              0.6422,             0.47358,            0.017865,            0.045899,            0.010195,             0.00439,             0.00439,             0.00439
                  19,            0.024974,            0.053755,             0.01521,             0.69907,             0.63051,             0.65394,             0.48555,            0.017821,            0.045572,           0.0097318,             0.00406,             0.00406,             0.00406
                  20,            0.024856,            0.053799,            0.014847,             0.78244,             0.60928,             0.68039,             0.50688,            0.017564,            0.045739,           0.0098503,             0.00373,             0.00373,             0.00373
                  21,            0.024246,             0.05317,            0.013884,             0.79696,             0.64208,             0.71367,             0.52885,             0.01784,            0.045865,           0.0089568,              0.0034,              0.0034,              0.0034
                  22,            0.024064,            0.053724,            0.013494,             0.77623,             0.67363,             0.71582,             0.53432,            0.017131,            0.045189,           0.0084973,             0.00307,             0.00307,             0.00307
                  23,            0.023684,               0.053,            0.013206,             0.80003,             0.67267,             0.73878,             0.54721,            0.017419,             0.04515,           0.0082374,             0.00274,             0.00274,             0.00274
                  24,            0.023353,            0.053035,            0.012856,             0.85357,             0.68244,             0.75682,             0.56399,            0.017203,            0.045015,           0.0077523,             0.00241,             0.00241,             0.00241
                  25,            0.023199,            0.053316,            0.012262,             0.83096,             0.67239,             0.75468,             0.56296,            0.017131,            0.044974,           0.0073928,             0.00208,             0.00208,             0.00208
                  26,              0.0226,            0.052306,            0.011946,             0.85654,             0.69049,              0.7654,             0.56911,            0.017069,             0.04485,           0.0071247,             0.00175,             0.00175,             0.00175
                  27,            0.022336,            0.052268,            0.011709,             0.73846,             0.76307,              0.7792,             0.58672,             0.01698,            0.044654,           0.0068439,             0.00142,             0.00142,             0.00142
                  28,            0.022004,            0.052056,            0.011284,             0.71994,             0.77817,             0.78514,             0.58994,            0.016931,            0.044611,           0.0064266,             0.00109,             0.00109,             0.00109
                  29,            0.021614,            0.051622,            0.010933,             0.74638,              0.7874,             0.78491,               0.591,            0.016862,            0.044457,           0.0062916,             0.00076,             0.00076,             0.00076
